label,X,Y,Z
shunil_gongopaddhay,9.30109,0.30429342,6.749335
humayun_ahmed,10.180081,12.091085,0.5728194
shomresh,6.9039025,-2.957817,-2.094462
humayun_ahmed,9.93336,12.3595705,1.2802469
shordindu,-4.490992,9.243338,2.08869
tarashonkor,-0.75198036,6.007258,5.6783233
shottojit_roy,-4.2117505,-1.0006872,-3.536682
humayun_ahmed,9.859981,11.985496,-0.10155201
shirshendu,-4.9254937,-0.95382303,8.112682
toslima_nasrin,9.14543,-3.8842812,4.0205874
zahir_rayhan,2.7599838,4.167961,-1.7541337
shottojit_roy,-3.7550333,-0.9520608,-4.120552
nihar_ronjon_gupta,-0.6715583,-4.1347713,3.3211277
humayun_ahmed,9.726467,11.40361,0.964847
shottojit_roy,-3.788947,-0.96641773,-4.0380025
robindronath,-2.8510966,11.868007,7.791799
shorotchandra,-4.567479,14.259165,7.764771
manik_bandhopaddhay,-0.25475588,3.872058,6.737253
nazrul,-2.4385378,8.831435,5.706461
tarashonkor,-0.6608798,7.944595,4.476071
robindronath,-3.1025834,12.16181,8.049101
tarashonkor,-2.6563866,8.408782,5.238213
shottojit_roy,-3.9365547,-1.0464306,-3.5660248
bongkim,-2.0827277,14.67093,-1.4673005
shunil_gongopaddhay,2.4839942,-3.0900214,12.061828
toslima_nasrin,9.092197,-3.549176,4.5087347
humayun_ahmed,9.950475,11.658778,-0.1712766
shirshendu,-4.826455,-0.73528767,8.326527
shottojit_roy,-3.4533944,-0.87120694,-3.7035093
humayun_ahmed,10.172605,11.776556,0.20867433
shordindu,-4.554607,9.156596,2.1836329
shirshendu,-5.053946,-0.8521497,8.328702
shorotchandra,-4.693292,13.126411,9.139289
MZI,12.022867,4.42698,9.233053
shunil_gongopaddhay,2.7375991,-2.891619,12.639749
robindronath,-2.812931,11.978257,8.166379
humayun_ahmed,9.88287,11.273023,0.75659
humayun_ahmed,10.149277,12.547068,2.1216464
shordindu,-4.6501083,9.132059,2.1615515
tarashonkor,-2.328374,8.619644,5.137753
MZI,10.964511,4.1138225,8.840148
humayun_ahmed,10.016041,11.700274,0.33278757
nihar_ronjon_gupta,-0.76872087,-4.089673,3.647187
MZI,11.627,4.7392964,9.739531
humayun_ahmed,9.988346,10.893725,0.72949433
shomresh,6.2791357,-2.9980109,-2.8191462
shunil_gongopaddhay,2.5339673,-3.3402052,12.471445
toslima_nasrin,8.7233715,0.28449044,6.051728
shunil_gongopaddhay,2.746592,-2.6277695,11.901053
humayun_ahmed,10.106117,10.96966,0.14468412
shorotchandra,-4.710527,13.020487,8.729703
humayun_ahmed,10.366945,11.900003,-0.022795772
shomresh,6.493389,-3.09044,-2.1654236
shorotchandra,-4.3399653,12.779287,8.776894
shunil_gongopaddhay,2.3408291,-3.4629354,11.807389
nihar_ronjon_gupta,-0.85442394,-4.404221,3.5210273
humayun_ahmed,9.751245,11.777967,0.81825596
tarashonkor,-2.4318738,8.339974,5.331367
shunil_gongopaddhay,2.337341,-3.5019777,12.097052
shomresh,6.3641467,-2.980228,-2.215281
shirshendu,-4.8643136,-0.8196643,8.099007
humayun_ahmed,10.188239,12.454054,0.50785536
shirshendu,-4.521172,-1.383912,8.301383
MZI,12.500163,4.980918,9.871703
toslima_nasrin,9.02438,-3.9399667,3.9515831
humayun_ahmed,9.372889,11.448537,0.92191905
shomresh,6.4917893,-2.9606907,-2.0598521
shorotchandra,-4.4064894,13.068263,8.684165
shordindu,-4.7355,8.99255,2.0528426
tarashonkor,-0.83903927,5.68518,6.151943
robindronath,-2.6908405,11.916897,7.72776
toslima_nasrin,9.149497,-3.4645739,4.773559
humayun_ahmed,10.175588,11.11617,0.42687175
shottojit_roy,-3.4355116,-0.8154168,-3.129621
humayun_ahmed,10.17824,11.173818,1.0260395
MZI,11.3235445,4.532934,10.167029
robindronath,-2.9005096,12.074592,7.8475885
manik_bandhopaddhay,0.35457143,4.6338496,6.6984086
shunil_gongopaddhay,2.8733106,-2.8272774,12.530103
nihar_ronjon_gupta,-0.8762033,-4.4252453,3.5422037
shirshendu,-4.8860807,-0.570926,8.208761
humayun_ahmed,9.313491,11.895166,0.40461174
shordindu,-4.785852,8.945949,1.5176003
humayun_ahmed,9.447876,11.913869,0.626287
MZI,12.053611,4.285833,9.320123
robindronath,-2.3706024,12.4758,8.0914955
bongkim,-2.173646,14.796039,-1.5789362
MZI,12.028463,4.4100018,9.410181
shomresh,6.3351903,-2.9399035,-2.5644145
humayun_ahmed,9.803236,11.900382,-0.16160886
shirshendu,-4.3901205,-0.070803545,8.232404
bongkim,-1.9822809,14.635761,-1.5711762
MZI,11.637736,4.4950156,9.804475
shordindu,-4.244677,9.641404,2.7200537
shunil_gongopaddhay,2.645009,-2.9927645,14.18901
manik_bandhopaddhay,-0.5967532,4.128755,6.926369
humayun_ahmed,9.859682,11.7485,-0.33882
shorotchandra,-4.4709105,14.270018,7.660553
shottojit_roy,-3.9753535,-1.0251815,-3.5862274
humayun_ahmed,9.980784,11.812996,0.93992954
humayun_ahmed,10.254526,11.333461,0.07327585
shomresh,6.7397733,-2.852049,-2.2262344
shordindu,-4.2034593,9.677054,2.7820022
tarashonkor,-0.6904872,7.8975086,4.51691
toslima_nasrin,9.016558,-3.8739674,4.08676
humayun_ahmed,9.964644,11.833187,1.0146916
robindronath,-2.7170312,11.785785,7.9776196
humayun_ahmed,11.018597,12.085043,1.0728669
humayun_ahmed,9.97857,11.455043,0.53357947
shomresh,6.5112615,-2.9352002,-2.2340624
shirshendu,-4.4440937,-0.048171844,8.17723
shunil_gongopaddhay,2.8862507,-3.273775,11.565322
shottojit_roy,-3.9453568,-1.0899079,-4.0954723
shorotchandra,-4.6449313,12.578584,8.694449
shomresh,6.3552823,-3.236812,-1.8465179
humayun_ahmed,9.925817,10.927811,0.84160864
shunil_gongopaddhay,2.3765244,-3.3249488,11.989899
toslima_nasrin,8.759825,0.31159544,6.0819335
shordindu,-4.712715,9.021419,1.9936845
shomresh,6.5591497,-3.260485,-2.1354382
humayun_ahmed,11.356834,11.569498,1.2432818
shirshendu,-4.5007524,-1.2446765,8.334303
zahir_rayhan,2.7049713,4.145796,-1.7399851
tarashonkor,-2.5588832,8.421537,5.386717
humayun_ahmed,9.930483,12.256809,-0.30268246
MZI,11.404989,4.557376,10.382937
bongkim,-1.9089675,14.539661,-1.4478942
shordindu,-4.7331448,8.964046,1.3755022
humayun_ahmed,9.51194,12.049211,0.76643604
toslima_nasrin,9.21014,-3.6959395,4.5101953
shorotchandra,-4.813101,12.629418,8.806531
shunil_gongopaddhay,2.5763903,-2.8676295,12.357212
humayun_ahmed,9.401007,11.629121,0.9370389
bongkim,-1.98002,14.503044,-1.3785826
humayun_ahmed,10.617382,11.997887,-0.165991
nihar_ronjon_gupta,-0.6620635,-4.2103996,3.355926
shomresh,6.298896,-3.4037585,-2.2177107
humayun_ahmed,9.4901085,11.430448,0.5252763
humayun_ahmed,11.595878,11.657248,1.3027309
shunil_gongopaddhay,2.64953,-2.4655528,12.114948
humayun_ahmed,9.331461,12.109619,1.7012721
